선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
디엘 제이드,2021,6,내항,입항,"5,199",2021-04-02 23:45,2021-04-03 20:40,SK5부두,부산,인천,석유제품 운반선,11,Y,Y
SERI EMPEROR,2021,1,외항,출항,"60,611",2021-04-03 00:00,2021-04-04 17:40,염포부두 01,여수,,LNG 운반선,1,Y,Y
FPMC 31,2021,2,외항,입항,"28,891",2021-04-03 00:24,2021-04-04 22:55,UTT부두,"HOUSTON, TX",JIANGYIN PT,케미칼 운반선,22,Y,N
DAN YANG,2021,1,내항,입항,"5,996",2021-04-03 01:50,2021-04-03 13:50,2부두 03,인천,동해,시멘트운반선,14,Y,Y
DAN YANG,2021,1,내항,출항,"5,996",2021-04-03 01:50,2021-04-03 13:50,2부두 03,인천,동해,시멘트운반선,14,N,N
103동성호,2021,27,내항,출항,498,2021-04-03 03:35,2021-04-03 08:45,SK2부두 01,부산,여수,석유제품 운반선,11,N,N
103동성호,2021,27,내항,입항,498,2021-04-03 03:35,2021-04-03 08:45,SK2부두 01,부산,여수,석유제품 운반선,11,Y,N
우성,2021,35,내항,출항,"1,998",2021-04-03 05:00,2021-04-04 17:00,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
태천2호,2021,10,내항,입항,456,2021-04-03 05:50,2021-04-05 22:00,9부두 01,기타항,기타항,모래운반선,9,Y,Y
태천2호,2021,10,내항,출항,456,2021-04-03 05:50,2021-04-05 22:00,9부두 01,기타항,기타항,모래운반선,9,N,N
7보광호,2021,11,내항,출항,323,2021-04-03 05:50,2021-04-03 14:33,SK2부두 02,부산,여수,석유제품 운반선,11,Y,N
건양호,2021,25,내항,출항,532,2021-04-03 06:50,2021-04-03 14:40,SK2부두 01,부산,여수,석유제품 운반선,11,N,N
FPMC 35,2021,1,외항,출항,"28,891",2021-04-03 07:15,2021-04-10 03:05,SK3부두,평택.당진,여수,석유제품 운반선,11,N,N
20청우호,2021,6,내항,출항,299,2021-04-03 07:30,2021-04-03 15:55,SK2부두 01,여수,여수,급유선,5,Y,Y
GRACE,2021,1,외항,출항,"33,084",2021-04-03 07:50,2021-04-14 02:30,6부두 05,"PORTLAND, OR",DAMPIER,산물선(벌크선),10,Y,Y
